GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProductManager,ru.netology.afisha,AfishaManager,13,73,0,2,3,15,2,4,2,3
ProductManager,ru.netology.afisha.domain,Afisha,104,29,18,0,1,5,16,5,7,5
